dataset,field,n_rows,has_field,missing_count,missing_pct,parse_failed_count,parse_failed_pct,future_ts_count,future_ts_pct,example_ids
applications_curated_full,raw_processing_timestamp,502,1,440.0,0.8764940239043825,0.0,0.0,2.0,0.00398406374501992,"app_037,app_215,app_024,app_275,app_099,app_246,app_042,app_348,app_309,app_320"
applications_curated_full,clean_processing_timestamp,502,1,440.0,0.8764940239043825,0.0,0.0,2.0,0.00398406374501992,"app_037,app_215,app_024,app_275,app_099,app_246,app_042,app_348,app_309,app_320"
applications_analysis,raw_processing_timestamp,500,0,,,,,,,
applications_analysis,clean_processing_timestamp,500,0,,,,,,,
applications_analysis,processing_timestamp,500,0,,,,,,,
